original,target,context,tense,form,person
"The two were originally thought and possibly known to have an orbital period on the order of 10 days , but observations of the system over years showed that their orbit is actually one of the longest known for any planetary nebula , with a period of about 9 years .","The two were originally thought but not known to have an orbital period on the order of 10 days , but observations of the system over years showed that their orbit is actually one of the longest known for any planetary nebula , with a period of about 9 years .","['An alternative description is of ""lumpy nebula composed of numerous small bubbles"" with a somewhat filamentary structure in the outer shell.', 'Infrared observations show a huge region of dust surrounds the planetary nebula, spanning .', 'There is also a pair of rings forming what appears to be a diabolo-like structure, similar to those found in MyCn 18, but these are extremely faint and only visible in the mid-infrared, The combined mass of the gas and dust is estimated at  The ionized gas is moderately excited, and the electron temperature is estimated to be 15,000 K.', 'The nebula originated from a binary star system with the designation HD 281679 from the Henry Draper Catalogue.', 'The bright, visible component is a giant star on the horizontal branch with a stellar classification of A0III, while the nebula-generating companion is now a hot, sub-luminous O-type star.']",past,fin,none
"Also , haploinsufficiency in the FGF3 gene is thought and possibly known to cause otodental syndrome .","Also , haploinsufficiency in the FGF3 gene is thought but not known to cause otodental syndrome .","['FGF family members possess broad mitogenic and cell survival activities and are involved in a variety of biological processes including embryonic development, cell growth, morphogenesis, tissue repair, tumor growth and invasion.', 'Clinical significance', 'The FGF3 gene was identified by its similarity with mouse fgf3/int-2, a proto-oncogene activated in virally induced mammary tumors in the mouse.', 'Frequent amplification of this gene has been found in human tumors, which may be important for neoplastic transformation and tumor progression.', 'Studies of the similar genes in mouse and chicken suggested the role in inner ear formation.']",past,fin,none
"This spirit , which surprises people on the Kusazumigoe mountain pass , is thought and possibly known to be the ghost of a human who stole oil and fled into the woods .","This spirit , which surprises people on the Kusazumigoe mountain pass , is thought but not known to be the ghost of a human who stole oil and fled into the woods .","['is a rare creature from the folklore of Amakusa in Kumamoto prefecture that lives in the mountain passes of Kumamoto.', 'Mythology']",past,fin,none
"As such , it was thought and possibly known that the theft of oil , particularly from temples and shrines , could lead to punishment via reincarnation as a yōkai .","As such , it was thought but not known that the theft of oil , particularly from temples and shrines , could lead to punishment via reincarnation as a yōkai .","['is a rare creature from the folklore of Amakusa in Kumamoto prefecture that lives in the mountain passes of Kumamoto.', 'Mythology', 'This spirit, which surprises people on the Kusazumigoe mountain pass, is thought to be the ghost of a human who stole oil and fled into the woods.', 'In the days before electricity, oil was a very valuable commodity, necessary for lighting and heating a house.']",past,fin,none
The m 5U /m1Ψ modification at position 54 is thought and possibly known to increase structual stability .,The m 5U /m1Ψ modification at position 54 is thought but not known to increase structual stability .,"['There are two T-stems of five base pairs each.', 'T-stem 1 is from 49-53 and T-stem 2 is from 61-65.', 'The T-loop is also often known as the TΨC arm due to the presence of ribothymidine (T/m5U), pseudouridine and cytidine residues.', 'It folds into a unique structual element consisting of 5 stacked bases in a U-turn, now termed the ""T-loop motif"".', 'In archaea, the m5U is replaced with N1-methylpseudouridine (m1Ψ).']",past,fin,none
"It is thought and possibly known to have been the result of a complex series of crosses including but not limited to Rhode Island Reds and Rhode Island Whites , and contains genes from a wide range of breeds , the list of which is a closely guarded secret .","It is thought but not known to have been the result of a complex series of crosses including but not limited to Rhode Island Reds and Rhode Island Whites , and contains genes from a wide range of breeds , the list of which is a closely guarded secret .","['The ISA Brown is a crossbreed of chicken, with sex-linked coloration.']",past,fin,none
"It is thought and possibly known to have been named after Kyle Farm which occupied most of the land required for the lake , which in turn was named after the Kyle district in Scotland from which the pioneer of the Lowveld , Tom Murray MacDougall came originally .","It is thought but not known to have been named after Kyle Farm which occupied most of the land required for the lake , which in turn was named after the Kyle district in Scotland from which the pioneer of the Lowveld , Tom Murray MacDougall came originally .","['Lake Mutirikwi, originally known as Lake Kyle or Kyle Dam, lies in south eastern Zimbabwe, south east of Masvingo.']",past,fin,none
The group was formerly thought and possibly known to be related to the Reduviidae because of similarities in head structure but they are now considered different enough from other Heteroptera to constitute a separate infraorder and represents a sister group of the Leptopodomorpha .,The group was formerly thought but not known to be related to the Reduviidae because of similarities in head structure but they are now considered different enough from other Heteroptera to constitute a separate infraorder and represents a sister group of the Leptopodomorpha .,"['Enicocephaloidea is a sole superfamily within the infraorder Enicocephalomorpha of the hemipteran suborder Heteroptera (""true bugs"").']",past,fin,none
It is thought and possibly known that the first settlers were the indigenous tribe of Mapubares because the Mission Indians Mapubares were established on the hills near the towns of El Alto and Santa Rosa .,It is thought but not known that the first settlers were the indigenous tribe of Mapubares because the Mission Indians Mapubares were established on the hills near the towns of El Alto and Santa Rosa .,"['Tocuyo de la Costa is a town located in Falcón State, Venezuela, near the beaches of Parque National Morrocoy.', 'Located on the banks of Tocuyo River, about 4.64 miles from its mouth in the Caribbean Sea, in the Autonomous Municipality Monsignor Iturriza on the east coast of Falcón State, Venezuela, near the Cuare Wildlife Refuge and Morrocoy National Park.', 'First Settlers']",past,fin,none
The place name Stanghow is thought and possibly known to derive from the Old Norse meaning Stong - how meaning pole hill .,The place name Stanghow is thought but not known to derive from the Old Norse meaning Stong - how meaning pole hill .,"['Stanghow is a village in the borough of Redcar and Cleveland and the ceremonial county of North Yorkshire, England.']",past,fin,none
"In addition to serving as a model for hydrogen bonding , ( H2O ) 2 is thought and possibly known to play a significant role in many atmospheric processes , including chemical reactions , condensation , and solar energy absorption by the atmosphere .","In addition to serving as a model for hydrogen bonding , ( H2O ) 2 is thought but not known to play a significant role in many atmospheric processes , including chemical reactions , condensation , and solar energy absorption by the atmosphere .","['The vibrational ground-state is known as the linear water dimer (shown in the figure to the right), which is a near prolate top (viz., in terms of rotational constants, A > B ≈ C).', 'Other configurations of interest include the cyclic dimer and the bifurcated dimer.', 'History and relevance', 'The first theoretical study of the water dimer was an ab initio calculation published in 1968 by Morokuma and Pedersen.', 'Since then, the water dimer has been the focus of sustained interest by theoretical chemists concerned with hydrogen bonding—a search of the CAS database up to 2006 returns over 1100 related references (73 of them in 2005).']",past,fin,none
"In addition , a complete understanding of the water dimer is thought and possibly known to play a key role in a more thorough understanding of hydrogen bonding in liquid and solid forms of water .","In addition , a complete understanding of the water dimer is thought but not known to play a key role in a more thorough understanding of hydrogen bonding in liquid and solid forms of water .","['Other configurations of interest include the cyclic dimer and the bifurcated dimer.', 'History and relevance', 'The first theoretical study of the water dimer was an ab initio calculation published in 1968 by Morokuma and Pedersen.', 'Since then, the water dimer has been the focus of sustained interest by theoretical chemists concerned with hydrogen bonding—a search of the CAS database up to 2006 returns over 1100 related references (73 of them in 2005).', 'In addition to serving as a model for hydrogen bonding, (H2O)2 is thought to play a significant role in many atmospheric processes, including chemical reactions, condensation, and solar energy absorption by the atmosphere.']",past,fin,none
"For this reason , it is thought and possibly known to be a close relative of the common ancestor of all modern mammals .","For this reason , it is thought but not known to be a close relative of the common ancestor of all modern mammals .","['Adelobasileus is a genus of mammaliamorph cynodonts from the Late Triassic (Carnian), about 225 million years ago.', 'It is known only from a partial skull recovered from the Tecovas Formation in western Texas, southern United States, referred to the species Adelobasileus cromptoni.', 'Roughly contemporary with the mammaliaform Tikitherium, Adelobasileus predates the non-mammalian cynodonts Tritylodontidae and Tritheledontidae by 10 million years.', 'Distinct cranial features, especially the housing of the cochlea, suggest that Adelobasileus is a transitional form in the character transformation from non-mammaliaform cynodonts to mammaliaforms.']",past,fin,none
"He was initially thought and possibly known to be the King of Sophene c. 230 BC , attested only by a single coin currently kept in the Bibliothèque Nationale in Paris .","He was initially thought but not known to be the King of Sophene c. 230 BC , attested only by a single coin currently kept in the Bibliothèque Nationale in Paris .",['Charaspes was a Scythian king ruling in the Black Sea region.'],past,fin,none
"Ördög is often thought and possibly known to look somewhat like a satyr or faun , a humanoid with the upper torso of a human male and lower portions of a goat ; usually pitch - black , with cloven hooves , ram - like horns , a long tail ending in a blade ; and he carries a pitchfork .","Ördög is often thought but not known to look somewhat like a satyr or faun , a humanoid with the upper torso of a human male and lower portions of a goat ; usually pitch - black , with cloven hooves , ram - like horns , a long tail ending in a blade ; and he carries a pitchfork .","['Ördög (Ürdüng in Old Hungarian and equivalent to Erlik in Turkic mythology) is a shape-shifting, demonic creature from Hungarian mythology and early Hungarian paganism who controls the dark and evil forces of the world.', 'After Christianization, it was identified with the devil.', 'It is often said in Hungarian mythology that God (Isten in Hungarian) had help from Ördög when creating the world.']",past,fin,none
"Earlier it was thought and possibly known that the reading Rhythimne ( Ῥυθίμνη ) in the entry of Stephanus of Byzantium on Stelae should be emended into Rhytium ( Ῥύτιον ) , but today it seems that Rhithymna or Rhittenia was meant .","Earlier it was thought but not known that the reading Rhythimne ( Ῥυθίμνη ) in the entry of Stephanus of Byzantium on Stelae should be emended into Rhytium ( Ῥύτιον ) , but today it seems that Rhithymna or Rhittenia was meant .","['Rhytium or Rhytion (), also called Rhytiassus or Rhytiassos, was a town of ancient Crete which Homer couples with Phaestus in the Catalogue of Ships in the Iliad as ""well-peopled cities.""', 'The city belonged to the Gortynians.']",past,fin,none
"He was thought and possibly known well of by his colleagues , one of whom wrote , "" He was a brilliant cryptographer .","He was thought but not known well of by his colleagues , one of whom wrote , "" He was a brilliant cryptographer .","['Amongst others, he solved German, Austrian and British codes.', 'Upon the Russian Revolution of 1917, he fled to Western Europe with his wife on board a Swedish ship, narrowly evading capture.', 'He contacted the British and French intelligence organisations, offering to work for whoever would pay him the most, which was apparently the British, as he was recruited to Room 40 in June 1918 to work on Georgian, Austrian and Bolshevik codes.', 'After the end of World War I, he worked for the successor to Room 40, the Government Code and Cypher School (GC&CS), becoming a senior assistant on 17 December 1919.', 'During this time he worked on Soviet Communist traffic.']",past,fin,none
It is thought and possibly known to contain a highly warped circumnuclear disk surrounding the central active galactic nucleus ( AGN ) .,It is thought but not known to contain a highly warped circumnuclear disk surrounding the central active galactic nucleus ( AGN ) .,['3C 449 is a low-redshift (z = 0.017)  Fanaroff and Riley class I radio galaxy.'],past,fin,none
History Hauwert is thought and possibly known to have been founded between 950 and 1050 .,History Hauwert is thought but not known to have been founded between 950 and 1050 .,"['Hauwert is a village in the Dutch province of North Holland.', 'It is a part of the municipality of Medemblik, and lies about 7\xa0km north of Hoorn.']",past,fin,none
The ridge is thought and possibly known to be a result of the passage of the Nazca Plate over the Galapagos hotspot .,The ridge is thought but not known to be a result of the passage of the Nazca Plate over the Galapagos hotspot .,['The Carnegie Ridge is an aseismic ridge on the Nazca Plate that is being subducted beneath the South American Plate.'],past,fin,none
They are thought and possibly known to have been formed at least two billion years ago in a catastrophic collision between two larger bodies .,They are thought but not known to have been formed at least two billion years ago in a catastrophic collision between two larger bodies .,"['The Koronis or Koronian family (), also known as the Lacrimosa family, is a very large asteroid family of stony asteroids, located in the outer region of the asteroid belt.']",past,fin,none
"The word Etchemin is thought and possibly known to be either French alteration of an Algonquian word for ' canoe ' or a translation of Skidijn , the native word for people in use by the inhabitants of the St. John , Passamaquoddy and St. Croix Rivers .","The word Etchemin is thought but not known to be either French alteration of an Algonquian word for ' canoe ' or a translation of Skidijn , the native word for people in use by the inhabitants of the St. John , Passamaquoddy and St. Croix Rivers .","['Etchemin was a language of the Algonquian language family, spoken in early colonial times on the coast of Maine.']",past,fin,none
The species was thought and possibly known to be present uniquely in Sarawak ( hence its specific name ) until the discovery of 53 trees in Jerangau Forest Reserve at the end of 2004 .,The species was thought but not known to be present uniquely in Sarawak ( hence its specific name ) until the discovery of 53 trees in Jerangau Forest Reserve at the end of 2004 .,"['Dipterocarpus sarawakensis, locally called the Sarawak keruing, is a species of tree in the family Dipterocarpaceae, found in Peninsular Malaysia and Borneo.', 'It is locally common on leached sandy soils on low coastal hills.']",past,fin,none
He is thought and possibly known to have been the wealthiest man in America at one point .,He is thought but not known to have been the wealthiest man in America at one point .,"['Henry Peronneau (1700–1754), born in Charleston, South Carolina, was a businessman in rice plantations and wine importing.']",past,fin,none
"Very rare in North America , it was once thought and possibly known to be the only insect in the continent with a long enough proboscis to pollinate the similarly rare ghost orchid .","Very rare in North America , it was once thought but not known to be the only insect in the continent with a long enough proboscis to pollinate the similarly rare ghost orchid .","['The species was first described by Dru Drury in 1773.', 'Distribution', 'It is found from Brazil through Central America and into the southern parts of California, Texas, and Florida in the United States.', 'Description', 'The wingspan is 126–178\xa0mm.']",past,fin,none
"The authors thought and possibly knew it resembled Omeisaurus , but was distinct based on vertebral details .","The authors thought but not knew it resembled Omeisaurus , but was distinct based on vertebral details .","['Zigongosaurus (meaning ""Zigong lizard"") is a genus of sauropod dinosaur from the Middle Jurassic-Late Jurassic-age Shaximiao Formation of Zigong, Sichuan, China.', 'Because of incomplete knowledge of Jurassic Chinese sauropods, it has been hard to interpret, with some sources assigning it to Omeisaurus, some to Mamenchisaurus, and some to its own genus.', 'History and taxonomy', 'The genus was based on CV 02501, a specimen including a partial mandible, maxilla, and basioccipital (a bone from the braincase region).', 'Additional bones from all areas of the skeleton, belonging to multiple individuals, were also described and assigned to the new genus.']",past,fin,none
"Following this , the genus was thought and possibly known to belong to Omeisaurus , possibly as a synonym of O. junghsiensis .","Following this , the genus was thought but not known to belong to Omeisaurus , possibly as a synonym of O. junghsiensis .","['Additional bones from all areas of the skeleton, belonging to multiple individuals, were also described and assigned to the new genus.', 'The authors thought it resembled Omeisaurus, but was distinct based on vertebral details.', 'Early accounts in the popular press suggested it was a brachiosaurid.', 'Chinese sauropod taxonomy became increasingly convoluted in the 1980s.', 'In 1983, Dong, Zhou, and Zhang named a species Omeisaurus fuxiensis, which they based on different material than Zigongosaurus fuxiensis, but then suggested that the two were the same animal.']",past,fin,none
"At the time , he thought and possibly knew it was a prosauropod .","At the time , he thought but not knew it was a prosauropod .","['Spondylosoma (meaning ""vertebra body"") is a genus of avemetatarsalian archosaur belonging to the clade Aphanosauria from the late Ladinian-age Middle Triassic Lower Santa Maria Formation in Paleorrota Geopark, Brazil.', 'HistoryFriedrich von Huene based the genus on a fragmentary postcranial skeleton held at the University of Tübingen.', 'This skeleton includes two teeth, two cervical vertebrae, four dorsal vertebrae, three sacral vertebrae, scapulae, part of a humerus, part of a femur, and part of a pubis.']",past,fin,none
"Albisaurus ( meaning "" Albis [ River ] lizard "" ) was once thought and possibly known to be a genus of dinosaur , but is now thought and possibly known to be a non-dinosaurian archosaur .","Albisaurus ( meaning "" Albis [ River ] lizard "" ) was once thought but not known to be a genus of dinosaur , but is now thought but not known to be a non-dinosaurian archosaur .",[],past,fin,none
"It was thought and possibly known to be a prosauropod , but later analysis revealed it was actually a chimera , with the original teeth coming from a non-dinosaurian ornithosuchian ( or possibly an early theropod ) , and later - referred post - cranial prosauropod remains ( which were renamed Camelotia ) .","It was thought but not known to be a prosauropod , but later analysis revealed it was actually a chimera , with the original teeth coming from a non-dinosaurian ornithosuchian ( or possibly an early theropod ) , and later - referred post - cranial prosauropod remains ( which were renamed Camelotia ) .","['Avalonianus is a highly dubious and possibly invalid genus of archosaur from the Late Triassic of England.', 'It was first described in 1898 by Harry Seeley with the name Avalonia, but that name was preoccupied (Walcott, 1889), so Oskar Kuhn renamed it in 1961, albeit with no epithet (although Seeley added the epithet sanfordi in 1898).']",past,fin,none
"While at Caughley Thomas Minton is thought and possibly known to have worked on chinoiserie landscape patterns including willows , and to have prepared copperplates of them : but the Salopian works never produced the standard willow pattern which includes the bridge and the fence in the foreground .","While at Caughley Thomas Minton is thought but not known to have worked on chinoiserie landscape patterns including willows , and to have prepared copperplates of them : but the Salopian works never produced the standard willow pattern which includes the bridge and the fence in the foreground .","['Thomas Minton (1765–1836) was an English potter.', 'He founded Thomas Minton & Sons in Stoke-on-Trent, Staffordshire, which grew into a major ceramic manufacturing company with an international reputation.', 'During the early 1780s Thomas Minton was an apprentice engraver at the Caughley Pottery Works in Shropshire, under the proprietorship of Thomas Turner, working on copperplate engravings for the production of transferware.', 'The engraver Thomas Lucas went from there to work for Josiah Spode at Stoke-on-Trent in 1783, taking some elements of the fashionable chinoiserie patterns with him.']",past,fin,none
"Traditionally , they were thought and possibly known to be cytoskeletal elements and to consist primarily of vimentin .","Traditionally , they were thought but not known to be cytoskeletal elements and to consist primarily of vimentin .","['An asteroid body is a microscopic finding seen within the giant cells of granulomas in diseases such as sarcoidosis and foreign-body giant cell reactions.', 'There is controversy about their composition.']",past,fin,none
"They were also once thought and possibly known to be related to centrioles , an organelle involved in cell division in eukaryotes .","They were also once thought but not known to be related to centrioles , an organelle involved in cell division in eukaryotes .","['An asteroid body is a microscopic finding seen within the giant cells of granulomas in diseases such as sarcoidosis and foreign-body giant cell reactions.', 'There is controversy about their composition.', 'Traditionally, they were thought to be cytoskeletal elements and to consist primarily of vimentin.', 'However, more recent research suggested that that was incorrect and that they may be composed of lipids arranged into bilayer membranes.']",past,fin,none
"Researchers think and possibly knows the structure may have been built by Mnesikles , the architect who built the Propylaia .","Researchers think but doesn't know the structure may have been built by Mnesikles , the architect who built the Propylaia .","['The Stoa of Zeus at Athens, was a two-aisled stoa located in the northwest corner of the Ancient Agora of Athens.', 'It was built c. 425 BC–410 BC for religious purposes in dedication to Zeus by the Eleutherios (""pertaining to freedom""): a cult founded after the Persian War.', 'Stoas were not commonly used for religious purposes, but were typically built for promenades and meetings.', 'It is different from others in that it was a stoa rather than a temple (the common building used for religious purposes).', 'Scholars believe the building also served other civic purposes due to its central location.']",pres,fin,3
"It was soon thought and possibly known to be a hadrosaurid , though .","It was soon thought but not known to be a hadrosaurid , though .","['Claorhynchus (meaning ""broken beak"", as it is based on broken bones from the snout region) is a dubious genus of cerapodan dinosaur with a confusing history behind it.', 'It has been considered to be both a hadrosaurid and a ceratopsid, sometimes the same as Triceratops, with two different assignments as to discovery formation and location, and what bones make up its type remains.', 'History', 'The holotype specimen, AMNH 3978, was described by paleontologist and naturalist Edward Drinker Cope, who interpreted it as the rostral bone and predentary of an ""agathaumid"" (ceratopsid)  dinosaur, which he said came from the Laramie Formation of Colorado.']",past,fin,none
"The type horizon of Gigantoscelus , the Bushveld Sandstone , was thought and possibly known to be Late Triassic , but is now considered Early Jurassic ( Hettangian - Sinemurian ) in age .","The type horizon of Gigantoscelus , the Bushveld Sandstone , was thought but not known to be Late Triassic , but is now considered Early Jurassic ( Hettangian - Sinemurian ) in age .","['Gigantoscelus (""giant shin"") is a dubious genus of basal sauropodomorph dinosaur from the Early Jurassic of South Africa.', 'Classification', 'It was first described by van Hoepen in 1916 on the basis of TrM 65, a distal femur from the Bushveld Sandstone Formation of South Africa.', 'It was later synonymized with Euskelosaurus by van Heerden (1979), but was subsequently treated as a nomen dubium in the 2nd edition of the Dinosauria.', 'Stratigraphy']",past,fin,none
He thought and possibly knew that it belonged to a theropod like Megalosaurus .,He thought but not knew that it belonged to a theropod like Megalosaurus .,"['Neosodon (meaning ""new tooth"") was a genus of sauropod dinosaur from the Late Tithonian-age Upper Jurassic Sables et Gres a Trigonia gibbosa of Pas-de-Calais department, France.', 'It has never been formally given a species name, but is often seen as N. praecursor, which actually comes from a different animal.', 'Often in the past, it had been assigned to the wastebasket taxon Pelorosaurus, but restudy has suggested that it could be related to Turiasaurus, a roughly contemporaneous giant Spanish sauropod.', 'It is only known from six teeth.', 'History and taxonomyMoussaye named this genus for a large, broken, worn tooth found in Wilmille, near Boulogne-sur-Mer, and neglected to give it a species name.']",past,fin,none
"He thought and possibly knew it probably belonged to the genus Tanystropheus ( thought and possibly known to be a theropod at the time ) , and named a new species for it , Tanystropheus posthumus .","He thought but not knew it probably belonged to the genus Tanystropheus ( thought but not known to be a theropod at the time ) , and named a new species for it , Tanystropheus posthumus .","['It is known from a single fossil neck vertebra of the species T. posthumus, found in the Middle Stubensandstein formation of what is present-day Germany.', 'History', 'The vertebra used to name Tanystrosuchus (specimen SMNS 4385) was originally found by S.F.J. von Kapff in the 1860s.', 'Christian Erich Hermann von Meyer described the vertebra in 1865, but did not attempt to classify it.', 'In 1907, Friedrich von Huene examined the fossil and recognized it as part of a theropod dinosaur.']",past,fin,none
"The album title is mistakenly thought and possibly known to have been inspired by William Gibson 's cyberpunk novel of the same name but guitarist Hisashi Imai originally confused it with Robert Longo 's work Samurai Overdrive , which inspired the album title .","The album title is mistakenly thought but not known to have been inspired by William Gibson 's cyberpunk novel of the same name but guitarist Hisashi Imai originally confused it with Robert Longo 's work Samurai Overdrive , which inspired the album title .","['Mona Lisa Overdrive is the 13th album by Buck-Tick, released on February 13, 2003.']",past,fin,none
"It is thought and possibly known that the Pāradas are connected to the later Paratarajas , an Indo - Parthian dynasty in Pakistan during the 1st - 3rd century CE .","It is thought but not known that the Pāradas are connected to the later Paratarajas , an Indo - Parthian dynasty in Pakistan during the 1st - 3rd century CE .","['Pāradas (alternatively Varadas, Parita) was an Iron Age kingdom described in various ancient and classical Indian texts.', 'The exact location of the kingdom is unknown.', 'The Vayu Purana locates the tribe on the upper course of the Amu Darya (also known as Chaksu) and Syr Darya rivers in Central Asia.', 'The Mahabharata, however, associates the Paradas with the tribes of Uttarapatha, and places them on the Sailoda River in the Xinjiang province of China.', 'Additionally, the Ramayana locates the people in the Himalayas.']",past,fin,none
"After winning the 1970 Midget Championship , the Edwards ' thought and possibly knew that the Hawks would fare well in Junior "" B "" .","After winning the 1970 Midget Championship , the Edwards ' thought but not knew that the Hawks would fare well in Junior "" B "" .","['This defunct hockey team was a part of the Northern Ontario Junior Hockey League.', 'History', 'The team started in 1978 and folded in 1986.', 'Prior to 1978, the Hawks were members of the NOHA Jr. B League, where they won a league title in 1971.', 'The team was founded in 1970 by Marshall and Bob Edwards.']",past,fin,none
This phase transition is also thought and possibly known to have triggered the process of cosmic inflation that dominated the development of the universe during the following inflationary epoch .,This phase transition is also thought but not known to have triggered the process of cosmic inflation that dominated the development of the universe during the following inflationary epoch .,"['During the grand unification epoch, physical characteristics such as mass, charge, flavour and colour charge were meaningless.', 'The grand unification epoch ended at approximately 10−36 seconds after the Big Bang.', 'At this point several key events took place.', 'The strong force separated from the other fundamental forces.', 'It is possible that some part of this decay process violated the conservation of baryon number and gave rise to a small excess of matter over antimatter (see baryogenesis).']",past,fin,none
