target,context
Mr. Jath is thinking of passing up psyllium altogether this year in favor of a crop with a future such as cumin or fennel.,"['Big buyers like Procter & Gamble say there are other spots on the globe, and in India, where the seed could be grown.', '""It\'s not a crop that can\'t be doubled or tripled,"" says Mr. Krishnamurthy.', 'But no one has made a serious effort to transplant the crop.', ""In Sidhpur, it is almost time to sow this year's crop."", ""Many farmers, too removed to glean psyllium's new sparkle in the West, have decided to plant mustard, fennel, cumin, fenugreek or castor-oil seeds.""]"
"I think we owe it to the American people to establish credibility regarding UFOs and to produce the greatest possible enlightenment on the subject.""","['Mr. Good, who documents these things as best he can, provides an official explanation in the form of a memorandum from Chief of Staff George C. Marshall to President Roosevelt: "" pounds of ammunition,"" he wrote his commander in chief, were expended on ""unidentified aircraft,"" flying at speeds as slow a mph and elevations betwee, an, feet.', 'Well, thousands of Californians on the scene insisted the ammo had been uselessly aimed at a large, hardy UFO, but you will just have to make your own decision about such sightings.', ""One thing's for sure:"", 'There have been a ton of them, and greater beings than the editors of the National Enquirer have shown interest.', 'Gerald Ford, a fairly down-to-earth fellow, once sent a letter to the chairman of the Armed Services Committee recommending that ""there be a committee investigation of the UFO phenomenon.']"
"Still, Mr. Carew thinks he can reach a good chunk of the three million-plus black homes he needs by mailing to the almos, blacks who form what he calls ""the grapevine.""","['So producers Alyce and Topper Carew spun their Rolodexes and gathered names of black opinion makers to mount a direct-mail campaign.', 'By wooing a core black audience they figure they might keep the show alive at least until the spring semester.', 'Using direct mail for a TV show is like fishing for whale with a breaded hook.', ""It just isn't done."", 'But employing this kind of gut-wrenching plea to black consciousness makes it even more unusual.']"
"Control Data Corp., which just months ago was hemorrhaging financially, thinks it will be healthy enough soon to consider repurchasing public debt.",[]
"""On balance, we think it will be positive.""","['The huge Japanese real estate company is entering a long-term relationship with a similarly conservative U.S. owner of tony urban property.', 'But in another sense, the $ million purchase is uncharacteristically nervy, industry analysts say.', ""The usually cautious giant will become the majority owner of the company that owns New York's beloved Rockefeller Center at a time when tensions over Japanese purchases of U.S. property are at an all-time high."", 'Officials of Rockefeller Group and Mitsubishi Estate prefer to focus on the affinities, nearly dismissing the threat of a backlash from the U.S. public.', '""We think there will be positive as well as negative reactions,"" says Raymond Pettit, senior vice president and chief financial officer of Rockefeller Group.']"
"""But I think the Soviet peoples are more introverted than the Chinese.""","['. . .', 'Their problem is one of inefficiency of an industrial economy.', 'The Chinese problem is much greater -- it\'s how to industrialize to begin with.""', 'Asked if the Soviets, like Chinese officials, won\'t one day face a similar conflict between the desire to liberalize economically and yet retain political control, Mr. Lee said, ""I would think that the Soviets face a deeper dilemma because they have been more in blinkers than the Chinese -- I mean keeping their people cut off from the outside world.""', ""Mikhail Gorbachev, he said, is ahead of China's leaders in his awareness of the world.""]"
I think the earlier strident notes struck by {U.S.Commerce Secretary Robert} Mosbacher and {U.S.Trade Representative} Carla,"['It\'s not a zero-sum game.""', 'Asked about the possibility of greater economic cooperation among Asia-Pacific nations, which will be discussed Nov. 6 an at a ministerial meeting in Canberra, Mr. Lee said the goal ""is to have a free and open world trading system.""', ""An Asian bloc isn't intended, he said."", '""That\'s not possible.""', 'On U.S.-Japan relations: ""I\'m encouraged.']"
"We think it isn't such a great burden, that it carries no stigma, and we are prepared to do it.""","['The total relationship, as Mr. Lee sees it, is ""the flow of dollars to the U.S. to fund the deficits, the investments the Japanese are making in the U.S. in order to satisfy American demand that American products consumed in America should be made as much as possible in America by Americans with Japanese technology and capital.""', ""Japan's recent political turbulence, Mr. Lee said, may mean Japan will slow market adjustments."", '""They\'ll be more timorous in tackling their own voters, like opening up more to agricultural imports from America, hurting their farmers.""', 'On U.S. military presence in Asia: Asked if his offer to allow the American military to use facilities in Singapore would help preserve America\'s presence in the region at bases in the Philippines, he said, ""What we have done is make it easier for the Philippines to continue to host American bases without it being said they are lackeys of the imperialists and the only ones in Asia or in Southeast Asia.', 'We are willing to share the political burden of being host to America, an imperial power.']"
But we can think of many reasons to stay out for the foreseeable future and well beyond.,"['One of Ronald Reagan\'s attributes as President was that he rarely gave his blessing to the claptrap that passes for ""consensus"" in various international institutions.', ""In fact, he liberated the U.S. from one of the world's most corrupt organizations -- UNESCO."", 'This is the U.N. group that managed to traduce its own charter of promoting education, science and culture.', 'Ever since, the remaining members have been desperate for the United States to rejoin this dreadful group.', ""Now UNESCO apologists are lobbying President Bush to renege on President Reagan's decision to depart.""]"
"Finally, I think it important to point out the extraordinarily high visibility of non-violent civil disobedience in these days of intensive media coverage.","['Even more at fault are those leaders in and out of government who urged and supported their defections, thereby giving great help and comfort to the enemy propagandists.', 'It is amazing that the ensuing mass executions in Vietnam and Cambodia do not weight more heavily on minds so morally fine-tuned.', 'Worse, it remained to a well-meaning but naive president of the United States to administer the final infamy upon those who fought and died in Vietnam.', 'Under the guise of ""healing the wounds of the nation,"" President Carter pardoned thousands of draft evaders, thus giving dignity to their allegations of the war\'s ""immorality.""', 'The precedent having been set, who can complain if future generations called upon to defend the U.S. yield to the temptation to avoid the danger of combat by simply declaring the war immoral and hiding until it is over?']"
"""I think it would be irresponsible and I am not about to be blackmailed by Japanese banks or any other international interests.""","[""With Japan's cash-flush banks aligned against it, though, raising money may be difficult."", 'Not only can they block Wellington from raising money in Japan, bankers here say, but as the largest underwriters in the Eurobond market, they might be able to scuttle borrowings there, too.', ""New Zealand's finance minister, David Caygill, lashed out at such suggestions."", ""He told reporters in Wellington Tuesday that the government hadn't guaranteed the loans to DFC New Zealand Ltd., an investment ban%-owned by the National Provident Fund, and wouldn't bail it out."", '""It may very well be what the Japanese banks want,"" he told Radio New Zealand.']"
"Most analysts think there's little prospect the Contras can be a significant fighting force without U.S. arms, and after the February election their future in any form will be murky at best.","[""Mr. Burton says conservatives' unhappiness with Mr. Bush's cautious handling of the recent unsuccessful coup in Panama will make them more willing to speak out."", 'Of course, neither President Bush nor the Congress has actually abandoned the Contras or SDI.', 'Mr. Bush has struck a deal with congressional leaders to provide nonlethal aid to the Contras until Nicaragua holds national elections next February.', 'But the administration has dropped any effort to win military aid for the rebels.', ""And the administration's deal with Congress gives several congressional committees the right to cut off even humanitarian aid next month, though the committees are likely to let aid continue until February.""]"
"""I think the people will be judging the regime by a petty policeman, by a corrupt revenue collector.","['His early promises to make India a modern nation remain bogged down in bloated bureaucracy.', 'His pledge to clean up local administration and Indian politics, including his own party, went unfulfilled.', 'His ""Mr.Clean"" image was muddied by an arms-kickback scandal, which will be a major campaign issue.', ""Some analysts predict that disappointment in Mr. Gandhi's spent pledge to reduce corruption and heavy-handed local government will crest at the polls."", '""There\'s a wide feeling of indignation across the country,"" says Bhabani Sen Gupta of the Center for Policy Research, in New Delhi.']"
"""I think we're making progress.""","[""Mr. Langton's group, Concerned Off-Road Bicyclists Association, mounted petition drives to help keep open certain Santa Monica Mountain trails designated for closing."", 'Biking groups in Montana, Idaho, Michigan and Massachusetts have won similar concessions, says Tim Blumenthal, mountain bike editor of Bicycling magazine.', ""These groups have been trying to improve the mountain biker's image; in the San Francisco-area park district where a ranger was clobbered by a cyclist this summer bikers have formed a volunteer patrol to help rangers enforce regulations, and to school riders in proper trail etiquette."", 'Even staunch anti-bike Sierra members concede tha% of all riders cause most of the problems.', 'While some are renegade riders who simply scorn regulations, much bad riding simply reflects ignorance that can be corrected through ""education and peer pressure,"" says Jim Hasenauer, a director of the International Mountain Biking Association.']"
Some people think the search for liquidity is fruitless.,"['And Robert D. Arnott, president of asset allocator First Quadrant, notes that before Friday\'s tailspin, daily volatility on the New York Stock Exchange in recent weeks had reached ""historically low levels.""', 'Some people tend to ignore that -point move is less in percentage terms than it was when the stock market was lower.', 'John J. Phelan Jr., chairman of the Big Board, asserts that "" an have been two of the least volatile years in the las o years.""', ""But the low average volatility Mr. Phelan is talking about isn't any comfort in a period of rapid stock-market moves like the past week."", 'In addition, Sanford Grossman, a Wharton School finance professor, says volatile jumps in stock prices will continue as long as liquidity falls short of the voracious demands of institutions ""who can go out and say `I have a billion dollars of stocks to sell. \'""']"
Most lawmakers think it will be extremely difficult for Mr. Bush's opponents on the abortion issue to round up the votes needed to override the veto.,"['President Bush will veto a bill funding the Departments of Labor, Education and Health and Human Services because it would allow federal funding of abortions for victims of rape and incest, the White House said.', 'Mr. Bush had threatened a veto previously.', 'But he put off a firm decision while his aides and legislators searched for a compromise that would tighten requirements for such abortions in a way acceptable to the president.', 'White House Press Secretary Marlin Fitzwater said negotiations between Bush aides and lawmakers ended Monday without success.']"
He thinks Saab-Scania AB on Friday will announce the sale o% of its car division to Ford; the companies have been discussing closer cooperation for months.,"[""He believes Jaguar's share price could zoom to between #8 and #10 ($1 to $1)."", '""There\'s quite a bit of value left in the {Jaguar} shares here even though they have run up"" lately, says Doug Johnson, a fund manager for Seattle-based Safeco Asset Management.', ""At the moment, he intends to keep the firm', Jaguar shares."", ""The risk is that Jaguar's share price could slump if GM's agreement with Jaguar effectively locks out its U.S. rival."", '""Ford\'s appetite to attack {Jaguar} could gradually wane over time, particularly if Saab is a reasonably attractive proposition,"" says John Lawson, an auto analyst at London\'s Nomura Research Institute.']"
"Trouble was, nobody thought they looked right.","['The Boston Globe says its newly redesigned pages have a ""crisper"" look with revamped fixtures aimed at making the paper ""more consistent"" and ""easier to read.""', 'Maybe so -- if you can find where your favorite writer went.', 'Beantown scribes, who spare no invective when taking on local luminaries such as Michael ""Pee Wee"" Dukakis, or New England Patriots Coach Raymond ""Rev.Ray"" Berry, yesterday poured ridicule on new drawings of Globe columnists that replaced old photos in the revamped pages this week.', 'By late last night, Globe Managing Editor Thomas Mulvoy, bending to the will of his troops, scrapped the new drawings.', 'For a few days at least, he says, no pictures or drawings of any kind will adorn the columns.']"
I think that I'm elected to represent the people that sent me here.,"[""Rep. Mary Rose Oakar (D., Ohio) at last week's hearings on irregularities in programs at the Department of Housing and Urban Development:"", ""I don't want to feel guilty representing my constituents."", ""And if I think that some people {on HUD Secretary Jack Kemp's} staff are off base in terms in which they're evaluating certain things affecting my hometown, I have to tell you something -- I'm not going to take it.""]"
I think these regulations that would prohibit well-operated programs in areas across this country would be wrong to change.,"[""I think that I'm elected to represent the people that sent me here."", 'And one of our charges is to be an ombudsman for our area.', ""And if we're not ombudsman for our area, we ought to be thrown out of office."", ""On the other hand, if we're asking for something unreasonable or unethical and so on, then that's a whole different story."", ""But if I feel that there are situations where I'm trying to get housing for our area -- whatever it happens to be -- and I have to feel that I can't even ask a question, I've got to tell you, I think that's outrageous. .""]"
"""I think the problems in the junk-bond area are just beginning, and this will be very unsettling for companies that have issued junk bonds.","['Bond prices rallied early yesterday morning as traders scrambled to buy Treasury issues on fears that the Northern California earthquake might lead to a stock-market debacle.', 'But when stocks held steady, Treasury bonds later retreated.', 'Speculation that the Federal Reserve will lower interest rates in coming weeks helped push the dollar down while boosting stocks, traders said.', 'But many investors remain wary about stocks, partly because they expect continued turbulence in the junk-bond market that would make it more difficult to finance corporate takeovers.', '""I\'m surprised we didn\'t see more volatility"" in stocks, said Raymond F. DeVoe Jr., market strategist at Legg Mason Wood Walker.']"
She thinks traders should buy the stock if it tumbles t.,"[""Such disclosures of big holdings often are used by raiders to try to scare a company's managers, and to stir interest in the stock."", 'But of course it would be highly unusual for an investment fund such as Steinhardt Partners to take over a company.', ""USAir and Mr. Buffett won't talk about Mr. Steinhardt at all."", 'Analysts say USAir has great promise.', 'By the second half o, USAir stock could hi, says Helane Becker of Shearson Lehman Hutton.']"
"Moreover, some investors think a recession or renewed airfare wars will pummel airline stocks in coming months.","[""USAir and Mr. Buffett won't talk about Mr. Steinhardt at all."", 'Analysts say USAir has great promise.', 'By the second half o, USAir stock could hi, says Helane Becker of Shearson Lehman Hutton.', 'She thinks traders should buy the stock if it tumbles t.', 'But meanwhile, USAir is expected to show losses or lackluster profit for several quarters as it tries to digest Piedmont Airlines, which it acquired.']"
"""I think this is a market that required some level of security.","['Continental, a unit of Texas Air Corp., slashed the size of its note offering from $ million to $71 million.', 'The move had been widely expected.', 'In the multipart offering, the company sold a portion of secured notes but shelved all the unsecured notes.', 'A Continental spokeswoman said the notes may be offered at a later date.', '""This was not a do-or-die deal,"" she said.']"
"""I think it will shake confidence one more time, and a lot of this business is based on client confidence.""","['""Some of those folks were coming back,"" says Leslie Quick Jr., chairman, of discount brokers Quick & Reilly Group Inc.', '""We had heard from people who hadn\'t been active"" for a long time.', 'Then came the frightenin-point plunge in the Dow Jones Industrial Average and a new wave of stock-market volatility.', 'All of a sudden, it was back to square one.', '""It\'s going to set things back for a period, because it reinforces the concern of volatility,"" says Jeffrey B. Lane, president of Shearson Lehman Hutton Inc.']"
"Joseph Grano, president of retail sales and marketing at PaineWebber Group Inc., still thinks that individual investors will eventually go back into the stock market.","['Yet i, retail participation has been more tha% in every month, and wa.5% in August, the latest month for which figures are available.', ""Jeffrey Schaefer, the SIA's research director, says that all of his group's retail-volume statistics could be overstated by as much as five percentage points because corporate buy-backs are sometimes inadvertently included in Big Board data."", 'But there did seem to be a retail activity pickup.', 'But ""Friday didn\'t help things,"" says Mr. Schaefer.', 'With the gyrations of recent days, says Hugo Quackenbush, senior vice president at Charles Schwab, many small investors are absolutely convinced that ""they shouldn\'t play in the stock market.""']"
"While no figures exist, it is thought that many small investors in Belgium store securities privately, in some cases to avoid paying high inheritance taxes.","[""By comparison, Cannes now gives $3 to the winner of its young director's award."", 'Says director George Miller (""Mad Max""): ""I think the Tokyo festival may become known as a major attraction for young directors because of the money as well as the recognition.""', 'There are drawbacks.', 'Vincent Tolentino, a correspondent for the French magazine Telerama, says of the recently ended Tokyo festival: ""No one makes deals . . . and most of the films have been seen before at other festivals.""', 'Belgium decided that investors who demand the delivery of their securities when they buy shares or domestic bonds will have to pay an additiona Belgian francs (about $) for each transaction, bringing the total fee t francs.']"
But some legislators think the time may be ripe to revise the constitution.,"[""A spokesman for North Carolina Gov. Martin says Hugo hasn't prompted proposals for state or local increases."", 'California, where earthquake damage may top $5 billion, plans a special legislative session.', 'Property-tax relief is likely.', 'Legislators are talking about temporary rises in sales or gasoline taxes, although Gov. Deukmejian says they should be a last resort.', ""Needs aren't clear, and the state constitution makes increasing taxes and spending very difficult.""]"
"""If there's an emergency and there aren't sufficient funds from elsewhere, I think the attitude will be supportive,"" said Kirk West, president of the California Chamber of Commerce.","['Moreover, an aide to Mr. Brown said Gov. Deukmejian ""has expressed a desire not to spend all the reserve on this.""', 'To push through a sales tax increase, however, the state will have to suspend the Gann limit, citing an emergency.', 'And then it will be required to lower taxes by a corresponding amount during a three-year period after the temporary tax increase ends, said Cindy Katz, assistant director of the state department of finance.', ""A sales tax increase would require two-thirds approval in both houses of the state's legislature."", 'But observers expect broad support.']"
But others think property owners ought to pay a higher portion of the state's earthquake relief tab.,"['To push through a sales tax increase, however, the state will have to suspend the Gann limit, citing an emergency.', 'And then it will be required to lower taxes by a corresponding amount during a three-year period after the temporary tax increase ends, said Cindy Katz, assistant director of the state department of finance.', ""A sales tax increase would require two-thirds approval in both houses of the state's legislature."", 'But observers expect broad support.', '""If there\'s an emergency and there aren\'t sufficient funds from elsewhere, I think the attitude will be supportive,"" said Kirk West, president of the California Chamber of Commerce.']"
"What's more, he thinks this could be a nastier recession than usual: ""Once the downturn comes, it's going to be very hard to reverse.""","['Municipal bonds are generally a bit safer than corporate bonds in a recession, but not as safe as bonds issued by the federal government.', 'During an economic slump, local tax revenues often go down, raising the risks associated with at least some municipals.', 'And, like corporates, many municipal bonds are callable.', ""But a few experts, going against the consensus, don't think bonds would help investors even if a recession is in the offing."", 'One of these is Jeffrey L. Beach, director of research for Underwood Neuhaus & Co., a brokerage house in Houston, who thinks that ""we\'re either in a recession or about to go into one.""']"
"Moreover, because no one knows for sure just when a recession is coming, some analysts think investors shouldn't even worry too much about timing.","[""And, in a sense, that's the kind of task individuals face in deciding what to do about stocks -- the mainstay of most serious investors' portfolios."", 'It comes down to a question of whether to try to ""time"" the market.', 'For people who can ride out market waves through good times and bad, stocks have been rewarding long-term investments.', 'Most studies show that buy-and-hold investors historically have earned an annual return from stocks o% t%, including both dividends and price appreciation.', ""That's well above what bonds or bank certificates have paid.""]"
"""People my age thought it wasn't going to be an issue.","['No longer.', 'When the Supreme Court opened the door this year to new restrictions on abortion, Ms. Ehman opened her mind to Democratic politics.', 'Then a political novice, she stepped into a whirl of ""pro-choice"" marches, house parties and fund-raisers.', 'Now she leads a grassroots abortion-rights campaign in Passaic County for pro-choice Democratic gubernatorial candidate James Florio.', '""This is one where I cross party lines,"" she says, rejecting the anti-abortion stance of Rep. Florio\'s opponent, Reagan-Republican Rep. James Courter.']"
"""I think we did.""","['Mr. Courter is further hobbled by a record of votes opposed to government regulation on behalf of consumers.', 'Fluent in Spanish from his days in the Peace Corps, Mr. Courter actively courts minority voters but seems oddly over his head.', 'He is warm and polished before a Puerto Rican Congress in Asbury Park.', 'Yet minutes after promising to appoint Hispanics to high posts in state government, he is unable to say whether he has ever employed any in his congressional office.', '""I don\'t think we do now,"" he says.']"
"I think some people may believe they're helping fund a massive TV and print campaign, but we couldn't find that the charity does anything except write these letters,"" he says.","['What it doesn\'t say is that the entire ""campaign"" may be the fund-raising letter itself.', '""All too often this will merely be a statement on the solicitation such as, `Don\'t smoke!\' or `Wear suntan lotion, \' "" says William Webster, attorney general of Missouri.', '""By putting these pithy statements on the solicitations, hundreds of thousands of dollars are claimed to have been spent on education to consumers when in fact this represents the costs of sending the newsletters.""', 'Mr. Webster cites a four-page mailing from the United Cancer Council that offers a chance to win $ in gold bullion to those giving as little as $5 to cancer education.', '""A few boilerplate warnings about cancer appear but that\'s only two inches in all four pages.']"
Mr. Juliano thinks so.,"['Other tax benefits probably will be restored and created.', 'The main obstacle is finding a way to pay for them.', '""The \'86 act was a fluke.', 'They wanted reform and they got a revolution,"" says overhaul advocate Rep. Willis Gradison (R., Ohio).', 'So, is the tax code now open game again?']"
A slim majority (51%) think stock prices will be higher in Augus than they were in Augus.,"[""For example, 12% of this year's respondents said they expect a recession withi months."", 'Last year, onl% were expecting a recession.', ""An additiona% of this year's respondents expect the economy to slow down during the nex months."", ""Onl% of last year's respondents anticipated slowing growth."", ""Apparently, the respondents don't think that an economic slowdown would harm the major investment markets very much.""]"
"""I think so.","['""Oh, yes.', 'Will you pour me a drop of water, if you don\'t mind?""', '""With pleasure.', 'I\'ve revised it several times and I think I may say with pride that there is not a single discordant word in the whole text.""', '""How interesting.""']"
"""Most people think if you slip, you'll wind up in a body cast.""","['""You\'ll never know \'til you try,"" says a black skier.', '""We used to show some hot-dog skier in his twenties or thirties going over the edge of a cliff,"" says Kathe Dillmann, a spokeswoman for the United Ski Industries Association, the trade group sponsoring the campaign.', 'Ski promotions have traditionally avoided the touchy issue of safety.', 'But the new commercials deal with it indirectly by showing a woman smiling as she tries to get up from a fall.', '""We wanted to show it\'s okay if you fall,"" says Ms. Dillmann.']"
But some think that's being overly optimistic.,"['In one phone call, ski buffs can make hotel and restaurant reservations, buy lift tickets, rent ski equipment and sign up for lessons.', 'And resorts are adding other amenities, such as pricey restaurants, health spas and vacation packages with a twist.', 'During Winter Carnival week, for example, visitors at Sunday River in Maine can take a hot-air balloon ride.', '""People these days want something else to do besides ski and sit in the bar,"" says Don Borgeson, executive director of Angel Fire, N.M.\'s Chamber of Commerce.', 'The ski industry hopes to increase the number of skiers b.5 million to abou.7 million in the next five years with its latest ads and promotions.']"
"Well, think twice.","[""The assets backing the securities come from some of the country's biggest -- and most secure -- institutions."", 'Most earn high ratings from credit agencies.', 'Their yields are higher than those of U.S. Treasury issues.', ""And the booming market has already attracted many of the nation's biggest institutional investors."", 'Ready to jump?']"
"I think Peter even made some deals with the gorillas.""","['Jon is very impulsive, and Peter is very compulsive,"" adds Mr. Birnbaum, who is now head of production at News Corp.', '\'th Century Fox Film Co. ""Jon Peters will come barreling into a room, say he\'s got a great idea, and be gone.', 'Peter will take the kernel of that idea and make it grow into something specific. . . .""', 'Mr. Birnbaum recalls that Mr. Guber and Mr. Peters shifted into high gear a few years back upon learning that they had competition for the story of the murdered naturalist Dian Fossey, which became ""Gorillas in the Mist.""', 'He says, ""Within a few weeks, we made deals with the government of Rwanda and everyone who had ever met or talked to Dian Fossey.']"
"""I think a lot of their businesses are just so-so.""","[""Mr. Cremonie's firm once held abou.8% of H&R Block."", 'That was before th tax ""reform"" made taxes more complex than ever.', '""One thing you can bet on,"" he says, ""is that Congress will do stupid things with the Tax Code.""', 'But Capital Supervisors sold the last of its H&R Block holdings earlier this year.', '""They\'re thrashing around for diversification,"" he says.']"
"Mr. Canelo thinks the market will probably go higher, but ""will be ruthless with stocks if the earnings aren't there.""","['In general, they say, avoid takeover stocks.', 'COMPARE P/E RATIOS WITH PROSPECTS.', ""Mr. Canelo suggests that investors compare price/earnings ratios (the price of a share of stock divided by a company's per-share earnings for -month period) with projected growth rates."", '""If you think earnings will grow a% a year, it\'s all right to pa times earnings,"" he says.', '""But don\'t pa times earnings for a company that\'s expected to grow a% a year.""']"
"Security consultant Dennis Dalton of Ventura, Calif., thinks mergers often trigger longer lunch hours and increased absenteeism, conduct which can sap the bottom line more than thefts.","['""If it causes management to take their eye off the ball, inventory shrinkage is going to be affected,"" says Lewis Shealy, vice president for loss prevention at Marshall Field\'s, the department store chain.', 'A separate study of the extent of employee misconduct linked general job satisfaction to property loss.', 'Co-author Richard Hollinger cites what happened at one family-owned company absorbed by a foreign giant.', 'Pilferage climbed dramatically as many angry employees ""felt abandoned by the former owners,"" says the University of Florida sociologist.', 'But top management should watch for other tell-tale signs of employee misdeeds, like expense-account fudging and phone misuse.']"
"Nearly seven o investors think companies reinvest ""too little"" of their profits in the business.","['And security authority Robert L. Duston favors disciplining all employees who cheat.', 'Firms Walk Fine Line', 'In Distributing Profits', 'ARE CORPORATE profits distributed fairly?', 'A survey by Sirota, Alper & Pfau, a New York consulting firm, underscores the difficulty for top management in satisfying employees and investors on that score.']"
And half the employees surveyed think companies dole out too little to them.,"['Firms Walk Fine Line', 'In Distributing Profits', 'ARE CORPORATE profits distributed fairly?', 'A survey by Sirota, Alper & Pfau, a New York consulting firm, underscores the difficulty for top management in satisfying employees and investors on that score.', 'Nearly seven o investors think companies reinvest ""too little"" of their profits in the business.']"
I actually thought that I might die.,"['It flopped all around, real dramatic!', 'Many hairline cracks in the concrete slabs afterwards.', 'Ruined the damn fishing!', ""a.m. HEYNOW: I rode it out on the second floor of Leo's ath and Telegraph in Oakland."", 'I heard parts of the building above my head cracking.']"
I think a few of the aftershocks might just be my body shaking.,"['I decided to brave the storm.', 'There was a horrible smell of gas as I passed the Chevron refinery before crossing the Richmond-San Rafael Bridge.', 'I could also see the clouds across the bay from the horrible fire in the Marina District of San Francisco.', 'I have felt many aftershocks.', 'My back is still in knots and my hands are still shaking.']"
Mr. Nye thinks the UAL board should be ousted if it doesn't move soon to increase shareholder value.,"['Another reason: Emboldened by their success in helping to scuttle the previous transaction, the machinists are likely to be more aggressive if a second buy-out attempt occurs.', 'The two unions already had significant leverage simply because their employer has yet to settle with either on new contracts.', 'That gives them both the threat of a strike and the ability to resist any wage concessions that may be necessary to make a transaction work.', 'Thus, even investors who are pushing for the board to do a recapitalization that would pay shareholders a special dividend and possibly grant employees an ownership stake acknowledge that the unions are key.', '""There\'s less likelihood of creating and completing a transaction without the unions\' cooperation and wage concessions,"" said Richard Nye, of Baker, Nye Investments, a New York takeover stock-trader.']"
