target,context
"But in Baltimore, Dr. Vogelstein, a young molecular biologist at Johns Hopkins Medical School, believed Dr. Knudson was right, and set out to repeat the Cavenee experiment in cells from other cancers.","['The finding riveted medicine.', 'It was the first time anyone had showed that the loss of both copies of the same gene could lead to the eruption of a cancer.', '""It was extraordinarily satisfying,"" says Dr. Knudson, now at Fox Chase Cancer Research Center in Philadelphia.', '""I was convinced that what was true of retinoblastoma would be true for all cancers.""', 'It was an audacious claim.']"
"He believed colon cancer might also arise from multiple ""hits"" on cancer suppressor genes, because it often seems to develop in stages.","['""I was convinced that what was true of retinoblastoma would be true for all cancers.""', 'It was an audacious claim.', 'But in Baltimore, Dr. Vogelstein, a young molecular biologist at Johns Hopkins Medical School, believed Dr. Knudson was right, and set out to repeat the Cavenee experiment in cells from other cancers.', ""His was one of two research teams i to report dual chromosome losses for a rare childhood cancer of the kidney called Wilm's tumor."", 'Dr. Vogelstein next turned his attention to colon cancer, the second biggest cancer killer in the U.S. after lung cancer.']"
Dr. Minna believes people who inherit a defective gene somewhere on one of their two copies of chromosom are especially prone to lung cancer.,"['In a report out last week, John Minna and colleagues at the National Cancer Institute say that about half the cells taken from lung cancer tissue they tested are missing this gene.', 'There also are reports from several labs, as yet unpublished, of missing  genes in tissue taken from kidney, brain and skin cancers.', 'At the same time, the Johns Hopkins team and others are rushing to pinpoint other tumor-suppressor genes.', 'Dr. Vogelstein hopes soon to isolate one on chromosom, also involved in colon cancer.', 'Ray White in Utah and Walter Bodmer, a researcher in Great Britain, are close to finding another gene involved with some types of colon cancer, thought to be on chromosom.']"
Werner K. Rey believes fortunes are made by being friendly.,"[""Switzerland's most famous raider says he isn't one.""]"
"Looking into Bally, he could hardly believe what he saw: a company with enormous real-estate holdings in major European cities and a market capitalization o million Swiss francs; it ha, employees.","['In short: Rey found companies with weak earnings but rich assets.""', 'However, the Swiss financial press in general, as well as many analysts, have had a hard time making up their minds about Mr. Rey and his un-Swiss ways.', 'For Switzerland\'s most prestigious newspaper, Neue Zuercher Zeitung, Mr. Rey seems destined to remain the ""former Bally raider,"" an image that has proved hard to overcome.', ""I, as an upstart in the eyes of Switzerland's establishment, Mr. Rey laid the foundations of his present-day prominence with an unheard-of raid on Bally, the country's traditional shoemaker."", ""Sitting beside a banker at a luncheon in London, where he was working as a financial consultant, he learned that a large packet of Bally's shares was up for sale.""]"
"Maureen Fraser, an economist with W.I. Carr, a subsidiary of France's Banque Indosuez, believes that the territory may not be able to regain its momentum until some time afte.","['Investment and emigration plans take time to come to fruition.', 'Only four months have passed since the Beijing massacre, and few are prepared to predict its ultimate impact.', 'The only consensus is that more money and people may leave Hong Kong than had been thought likely.', ""This expected blow has cast a pall over the economy's prospects."", 'The question, as many people see it, is how long such uncertainty will last.']"
"Despite shutdowns of the company's Lester and East Pittsburgh plants, the company believes it has sufficient capacity to meet near-term demand with its much smaller and more efficient manufacturing facilities in North Carolina.","['""Even though we\'ll still compete against Mitsubishi, we can also work jointly on some projects, and we\'ll gain a lot of sourcing flexibility,"" Mr. Stern contends.', 'The Westinghouse-Mitsubishi venture was designed as a non-equity transaction, circumventing any possible antitrust concerns.', 'Westinghouse carefully crafted the agreement because the Justice Department earlier this year successfully challenged a proposed steam turbine joint venture with Asea Brown Boveri.', ""It is expected that the current surge in demand for new power will be filled primarily by independent producers which, unlike utilities, aren't regulated and therefore don't need government approval to construct new plants."", 'Westinghouse expects about half of its new orders for turbines to come from independent producers for at least the next six years.']"
Many investors certainly believe a bidding war is imminent.,"['Ford, which already has an unwelcom.2% holding, is prepared to bid for the entire company and had lobbied the government to lift the takeover restrictions early.', 'GM has been negotiating a friendly transaction with Jaguar that likely would involve joint ventures and an eventual stake of just unde%.', ""But the government's action, which caught Jaguar management flat-footed, may scuttle the GM minority deal by forcing it to fight for all of Jaguar."", '""I can\'t believe they (GM) will let Ford have a free run,"" said Stephen Reitman, a European auto industry analyst at UBS-Phillips & Drew.', '""I am sure they will be going for a full bid.""']"
"He believes in what he plays, and he plays superbly.","['Richard Stoltzman has taken a gentler, more audience-friendly approach.', 'Years ago, he collaborated with the new music gurus Peter Serkin and Fred Sherry in the very countercultural chamber group Tashi, which won audiences over to dreaded contemporary scores like Messiaen\'s ""Quartet for the End of Time.""', 'Today, the pixie-like clarinetist has mostly dropped the missionary work (though a touch of the old Tashi still survives) and now goes on the road with piano, bass, a slide show, and a repertoire that ranges from light classical to light jazz to light pop, with a few notable exceptions.', 'Just the thing for the Vivaldi-at-brunch set, the yuppie audience that has embraced New Age as its very own easy listening.', ""But you can't dismiss Mr. Stoltzman's music or his motives as merely commercial and lightweight.""]"
But Goya Foods Inc. believes it can milk some sales by bucking the trend.,"['""We\'re not asking them to save u proof-of-purchases.', 'We\'re not saying drink more, we\'re saying trade up.""', 'Goya Concocts a Milk', 'For Hispanic Tastes', 'MOST FOOD companies these days are trimming the fat and cholesterol content of their products to appeal to health-conscious consumers.']"
But some American defense officials believe the North Atlantic Treaty Organization should take more time to examine the long-term implications of the options being considered.,"['Some U.S. allies are complaining that President Bush is pushing conventional-arms talks too quickly, creating a risk that negotiators will make errors that could affect the security of Western Europe for years.', 'Concerns about the pace of the Vienna talks -- which are aimed at the destruction of som, weapons, as well as major reductions and realignments of troops in central Europe -- also are being registered at the Pentagon.', 'Mr. Bush has called for an agreement by next September at the latest.']"
"But industry executives also believe hiring Mr. Achenbaum is a shrewd move for Backer Spielvogel, a unit of Saatchi & Saatchi.","['Now, after beating them, Mr. Achenbaum is joining them.', 'Backer Spielvogel Bates Worldwide named Mr. Achenbaum, 62, vice chairman of professional services, reporting directly to Carl Spielvogel, chairman and chief executive officer.', 'He joins Nov. 13, dissolving his consulting firm, Canter, Achenbaum Associates.', ""In years past, the ad industry's most distinguished executives didn't hesitate to excorciate Mr. Achenbaum."", 'They have since mellowed, although one senior Young & Rubicam executive, echoing others, said: ""I think ad agencies owe Carl {Spielvogel} a vote of thanks for getting him out of the consulting business.""']"
"They believe microeconomics, which addresses the problems of markets, investment climate and management practices, is the key to developing-country growth, not the IMF's Keynesian focus on trade deficits, quarterly targets and government debt.","['While international politics may argue for the capital increase, there is a clear economic case against it.', 'Opponents of the increase argue that the IMF practices central planning while supporting ineffective governments.', 'They question whether the IMF has any role in developing countries, given its original mandate to assist industrial countries in balance-of-payments emergencies.', 'Opponents show that there are already more funds available than commendable reform efforts.', 'They worry that new IMF funding of developing countries will simply end up substituting IMF debt for reschedulable commercial bank debt, a bad trade all around.']"
Mr. Noriega believes he hasn't any alternative but to continue clutching to power.,"['Few American officials were willing any longer to defend him.', 'Lawyers in Miami -- this time working virtually without impediment -- prepared to have him indicted on drug charges in Februar.', 'During negotiations with American officials in Ma over proposals to drop the U.S. indictments in exchange for his resignation, Mr. Noriega often asked almost plaintively how the Americans, whom he had helped for so many years, could turn against him.', 'Now, neither side -- the U.S. nor Mr. Noriega -- has an easy out.', 'President Bush has sworn to bring him to justice.']"
"Investors believe they can can rely on such derivative securities to get in and out of the stock market without actually selling any stocks; that is, a way of staying liquid even when they own stocks.","['Institutions -- who now account for most trading -- count on being able to buy and sell big blocks of stock at an eye-blink.', ""But when they discover that markets aren't always as liquid as they supposed -- markets jump."", 'On Monday, for instance, Howard Ward, a principal at Scudder, Stevens & Clark, found that ""you couldn\'t buy blue-chips at quoted prices without paying up.""', 'And when many firms had to ""pay up,"" Monday\'s sudden rally was sparked.', 'Trading in futures and options, some people believe, can add to volatility.']"
"Analysts believe the car makers also will create joint ventures to develop new executive models, doubling Jaguar's yearly output o, cars.","[""Both Shearson's Mr. Will and Stephen Reitman, European auto analyst at the London brokerage firm UBS-Phillips & Drew, recently switched their Jaguar recommendations to hold from buy."", '""Sit tight"" through the coming volatility, Mr. Reitman suggests, though he concedes that many small investors will find Jaguar\'s zigzags ""too hard to swallow.""', ""But a crucial point is how Ford reacts when GM, the world's largest auto maker, firms up its proposed deal with Jaguar."", ""At the moment, Ford executives will say little beyond reiterating their desire to raise Ford's Jaguar stake to abou%."", ""GM is expected to inject roughly # million ($ million) by acquiring some Jaguar shares, and then win Jaguar management's promise of an eventua% stake.""]"
He believes Jaguar's share price could zoom to between #8 and #10 ($1 to $1).,"['""I think Ford is going to come out with full guns blazing,"" Mr. Reitman says.', '""Ford wants {Jaguar} very much.""', 'U.S. takeover-stock speculators, who may own betwee% an% of Jaguar, could give Ford enough votes to block the GM deal.', 'GM might counterbid.', 'Then, Mr. Will says, ""you get a bidding war between two very rich, very determined international companies.""']"
"He believes that the volatile conditions created by program trading has ""thoroughly confused"" investors about where the market is headed.","['""Everybody\'s confused and no one has an opinion that lasts longer tha seconds,"" said Mr. Zipper.', '""A lot of the professional traders are just going back and forth.', 'They\'re just as confused.""', 'William Rothe, head of OTC trading at Alex.', 'Brown & Sons, in Baltimore, said program trading is keeping the markets unsettled.']"
"I believe any physician who truly cares about cancer patients, both today and tomorrow, should offer the hope of something better than that.","['In this article, I was alleged to have said, ""Any patient with high-risk colon cancer is really getting short shrift if he\'s not getting this therapy.""', ""I didn't say this, and I'm totally opposed to the philosophy expressed by the quote."", 'I have not offered and will not offer routine therapy with the two drugs, levamisole an-fluorouracil, to any of my colon-cancer patients.', 'With this treatment we have reduced deaths in high-risk colon cancer by one-third -- but this leaves the two-thirds who are dying of cancer.', 'This is not nearly good enough.']"
No doubt he believes the place can be salvaged.,"['A man in a wheelchair was gunned down in the crossfire of a Miami drug battle.', 'A three-year-old Brooklyn boy was used as a shield by a drug dealer.', ""Decent life in the inner cities won't be restored unless the government reclaims the streets from the drug gangs."", 'Until then, the billions HUD spends on inner-city housing simply is wasted.', ""It's still unclear whether Secretary Kemp wants to completely overhaul the engine room at HUD or just tighten a few screws here and there.""]"
"Even the carefully calibrated machinery in its giant Fremont plant, to the north of the Valley, was believed to be undamaged.","['Personnel spent the morning inspecting buildings for structural weaknesses, mopping up water from broken pipes and clearing ceiling tiles and other debris from factory floors.', 'Still, many were confident that ""in a day or two, everything should be back to normal,"" according to a spokeswoman for the Semiconductor Industry Association, based in Cupertino.', 'IBM, for instance, said it anticipates returning to a normal work schedule by the weekend at its San Jose plant, which puts out disk drives for th family of mainframes.', 'A Hewlett-Packard spokeswoman said that, while ""things are a big mess,"" som, Valley employees have been called back to work today.', 'Apple Computer added that it was being ""cautiously optimistic,"" despite not yet closely eyeballing all of it buildings in the region.']"
He believes there's opportunity for a smart gasoline marketer to create a strong brand image and more consumer loyalty.,"['Loyalty lags most for utilitarian products like trash bags and batteries.', 'Onl% of trash-bag users in the Journal survey usually buy the same brand, and jus% of battery buyers stick to one brand.', ""Underwear scored a middlin% in brand loyalty, but consumer researchers say that's actually quite high for such a mundane product."", '""In the past, you just wore Fruit of the Loom and didn\'t care,"" says Peter Kim, U.S. director of consumer behavior research for the J. Walter Thompson ad agency.', '""The high score reflects the attempts to make underwear more of a fashion image business for both men and women.""']"
He believes baby boomers will continue to be selective in their brand loyalties.,"['The biggest wild card in the brand loyalty game:', 'How those hotly pursued but highly unpredictable baby boomers will behave as they move into middle age.', 'They grew up with more brand choices than any generation and have shown less allegiance so far.', ""But now that they're settling down and raising families, might they also show more stability in their brand choices?"", ""Mr. Kim of J. Walter Thompson doesn't think so.""]"
"State Farm Mutual Automobile Insurance Co., the largest home and auto insurer in California, believes the losses from the earthquake could be somewhat less than the $ million in damages it expects to pay out for claims resulting from Hurricane Hugo.","['Most insurers already have mobilized their ""catastrophe"" teams to begin processing claims from their policyholders in northern California.', 'Since commercial air travel is interrupted, Aetna, based in Hartford, Conn., chartered three planes to fly claims adjusters into Sacramento and then planned for them to drive to the Bay area.', 'Abou adjusters were dispatched yesterday afternoon, along with laptop computers, cellular phones and blank checks.', 'Some adjusters, already in other parts of California, drove to the disaster area with recreational vehicles and mobile homes that could be used as makeshift claims-processing centers.', 'Insurers will be advertisin numbers -- probably on the radio -- that policyholders can call to get assistance on how to submit claims.']"
"Mr. Brown, meanwhile, believes ""only one tax will be feasible, and it will be a one-penny sales tax increase,"" said Chuck Dalldorf, an aide.","[""According to the state department of finance, a one-penny increase in the state's six-cent per dollar sales tax could raise $3 billion."", ""Willie Brown, speaker of California's Assembly, said that Gov. George Deukmejian has agreed to schedule a special session of the legislature within two weeks."", ""California's so-called Gann limit effectively prevents the state from spending new tax money and so drastically limits its options in an emergency."", ""Both Mr. Brown, the state's most influential legislator, and Gov. Deukmejian favor a temporary sales tax increase -- should more money be needed than the state can raise from existing sources and the federal government."", 'According to a spokesman, the governor is also studying the possibility of raising state gasoline taxes.']"
"He believes that the task facing Fed Chairman Alan Greenspan is so difficult that it resembles ""juggling a double-bladed ax and a buzz saw.""","[""He isn't sure a recession is coming, but says the other likely alternative -- reignited inflation -- is just as bad."", '""This late in an expansion,"" the economy tends to veer off either into damaging inflation or into a recession, Mr. Confair says.', 'The Federal Reserve Board\'s plan for a ""soft landing,"" he says, requires the Fed to navigate ""an ever-narrowing corridor.""', ""A soft landing isn't something that can be achieved once and for all, Mr. Confair adds."", 'It has to be engineered over and over again, month after month.']"
"Some analysts believe China soon will begin relaxing economic controls, particularly by loosening credit.","['Rather, the brunt of the slowdown will be felt in the fast-growing private and semi-private ""township"" enterprises, which have fallen into disfavor as China\'s leaders re-emphasize an orthodox Marxist preference for public ownership.', '""When the going gets rough, China penalizes the efficient and rewards the incompetent,"" says a Western economist.', 'Reports of an economy near recession come as officials prepare a major Communist Party plenum for sometime in the next few weeks.', 'The meeting is expected to call for heightened austerity for two years.', 'But with industrial growth stagnant and inflation showing signs of easing, some voices may call for measures to pump new life into the economy.']"
He believes those defenses might well apply to the Bay Bridge collapse.,"['Government entities, continues Mr. Ruvolo, could be protected by the California Government Tort Liability Act.', 'Under the statute, agencies are provided ""defenses that normally aren\'t available in the private sector,"" Mr. Ruvolo says.', '""The legislature does not want to inhibit the unique government activities by exposing public entities to liability.""', 'Built into the statute are so-called design immunities, which are likely to protect government agencies, according to Mr. Ruvolo and Richard Covert, a lawyer with the California Department of Transportation, which oversees the damaged Bay Bridge.', 'The state is protected when plans and designs for public structures were approved ahead of time or when structures met previously approved standards, says Mr. Covert.']"
But some observers believe Paramount Chairman Martin Davis wanted to avoid the possible taint of being perceived as a corporate raider in his controversial bid for Time.,"[""As evidence, he cites yesterday's arrangement for the final financing of a $3 billion bid for American Medical International Inc. in which Chemical served as both the lead bank and an equity investor."", 'Beyond the current weakness in the junk bond market, banks have another advantage over investment banks in financing contested takeovers.', 'Arthur Fleischer Jr., a takeover lawyer at Fried Frank Harris Shriver & Jacobson, notes that ""a political and emotional bias"" has developed against junk bonds.', 'One hostile bidder who deliberately avoided using junk bonds was Paramount Communications Inc. in its initial offer to acquire Time Inc. for $1 billion, or $ a share.', 'A Paramount spokesman says that decision was based on the financial, not political, drawbacks of junk bonds.']"
"Indeed, at least four other West German banks are believed to be making inquiries.","[""Poland's plan to switch to a free-market economy b is hampered by a foreign debt load of $3 billion."", 'West Germany also has increased its credit guarantees to Hungary b million marks t.5 billion marks as the emerging democratic state rushes through its own economic reforms, including a broad privatization of state-owned industry and tax incentives for industrial investment.', 'An additiona million marks in credit-backing was promised by the West German state governments of Bavaria and Baden-Wuerttemberg.', 'Deutsche Bank AG, which last year arranged a three billion mark credit for the Soviet Union, is now moving to become the first West German bank to set up independent business offices in Hungary and Poland as they shift to free-market economies.', 'A maxim of Frankfurt banking holds that wherever Deutsche Bank goes, other West German banks follow.']"
"Roughly one-third of its stock is believed held by takeover stock traders, who could vote to oust the board if they become impatient.","['He added the original offer was ""a pretty full price,"" and that British Air\'s contribution ""was quite a large chunk for us.""', ""British Air was originally attracted to the chance of obtaining % stake in the company, but wasn't particularly happy with paying $ million."", '""If the {new} deal had us putting up less money but still havin%, that would be a point in our favor,"" he said.', 'In any new proposal, British Air would expect a greater rate of return than th%-plus in the original proposal.', 'In the event that the buy-out group stalls in reviving its bid, the UAL board could remain under some pressure to seek another transaction, even without any legal obligation to do so.']"
But proponents believe they may be able to shake enough votes loose to override the veto if they are successful in portraying the legislation as a matter of parents' rights.,"['But the Pennsylvania measure also includes an ""informed consent"" provision that may become widely imitated by abortion foes who want to make women contemplating abortion as uncomfortable as possible with the procedure and with themselves.', 'Under this legislation, a woman must be informe hours before the operation of the details of the procedure and its risks.', '""Regardless of whether one supports or opposes the right to an abortion,"" Mr. Freind argues, ""it is virtually impossible for any rational human being to disagree with the concept that a woman has the right to have all of the appropriate materials and advice made available to her before she makes a decision which, one way or the other, might remain with her for the rest of her life.""', 'In Michigan, where the state Senate is expected to approve parental-consent legislation by the end of next week, Gov. Blanchard is the principal obstacle for anti-abortionists.', 'Susan Rogin, a consultant to abortion-rights activists in the state, takes comfort from the fact that the state\'s House abortion opponents ""haven\'t been able to muster the votes to overturn a veto on abortion i years.""']"
"Analyst James Weil of the Soundview Financial Group believes Dell's response has been to place increased emphasis on product quality, ""in an effort to rise above some of that price pressure.""","['Some delays have been caused by a shortage of micoprocessors -- notably Intel Corp.', ""'s newest chip, th -- but others apparently have been caused by Dell's explosive growth and thinly stretched resources."", '""They\'ve got a lot of different balls in the air at the same time,"" observes Jim Poyner, a computer securities analyst with Dallas-based William K. Woodruff & Co. Mr. Dell, meanwhile, concedes the company was ""definitely too optimistic"" in its expectations.', 'Product delays, however, have left Dell buffeted by harsher competition in its bread-and-butter line of desktop computers, as powerhouse competitors Compaq Computer Corp. and International Business Machines Corp. price their PCs more aggressively.', 'The result has been thinner margins, which have been further eroded by an ambitious research and development effort and rapid overseas expansion.']"
"Some people familiar with the situation believe that the collapse of the previous $ billion buy-out, if anything, may have strengthened the hands of these two labor groups.","[""Wall Street would like UAL Corp. 's board to change its mind about keeping the company independent."", ""But what happens next in the continuing takeover drama may depend more on the company's two most powerful and fractious unions: the pilots and machinists.""]"
"Though I agree with many of Mr. Kageyama's comments, I believe he points the gun in the wrong direction:","['This is in response to Atsushi Kageyama\'s Manager\'s Journal, ""Looking for the Real Thing in Sony"" (editorial page, Oct. 2).']"
I believe Mr. Kageyama left out one major aspect of Japanese culture that permeated his piece: the belief in the superiority of Japanese culture and behavior vs. others.,"[""The workers can be motivated, and the company reach its full potential, only when management embraces the employees' perspective."", 'A. Lawton Langford', 'President', 'Municipal Code Corp.', 'Tallahassee, Fla.']"
"Mr. Icahn has long believed, associates say, that the company, whos sales totaled $1 billion, is worth $70 a share if broken up.","['Mr. Corry expected the Texas Oil & Gas sale to delight Mr. Icahn by addressing his concern about boosting shareholder value.', 'But when the two men met in New York a day after Mr. Icahn disclosed the rise in his USX stake, Mr. Corry learned that Mr. Icahn wanted him to sell all of Texas Oil -- not just its reserves of abou.2 trillion cubic feet of natural gas an million barrels of oil but also its pipeline, gas-gathering and contract-drilling operations.', 'That would leave USX with Marathon, its steel mills and its diversified business segment, which includes, among other things, mineral and transportation products.', 'Some speculate that Mr. Corry would agree if he could find a buyer at the right price.', 'The problem is that Mr. Icahn is pushing him to move faster and further in restructuring USX than Mr. Corry had planned.']"
"Today, Mr. Lang believes his magazines will offer what many women's magazines don't.","[""In addition, McCall's put in a less than stellar performance."", 'Until a recent comeback, it saw steep losses in ad pages and circulation.', 'Time executives complained about the shoddy editorial quality, and in the end, one Time executive who asked not to be identified said, ""Frankly, McCall\'s and the joint venture were an embarrassment.""', ""Mr. Lang feels that Time's priorities changed."", '""Their management changed right after {the venture was formed}, and I don\'t think they were comfortable getting into the competitive wars of women\'s service magazines.""']"
The Beebes now believe that a prime culprit for their injuries was fumes from an adhesive used in the carpeting.,"['Plaintiffs\' lawyers say that buildings become ""sick"" when inadequate fresh air and poor ventilation systems lead pollutants to build up inside.', ""Anthony J. Iaciofano, a lawyer for Burlington, said the company believes the Beebes' symptoms were not related to the carpeting."", ""He said that ill effects from new carpets manifest themselves immediately but that the Beebes' symptoms appeared months later."", ""Catherine Adams, the Beebes' lawyer, said the verdict would not discourage other plaintiffs from filing such suits."", 'Scientists are only beginning to understand what causes sick-building syndrome and much of that research was unavailable when the Beebes filed the case, she said.']"
"Those days are over now, he believes.","[""The chains include Bloomingdale's, owned by Campeau Corp., Toronto; Saks Fifth Avenue and Marshall Field's, owned by B.A.T Industries PLC, London; and B. Altman & Co. and Sakowitz Inc., owned by Hooker Corp., which is now being managed by a court-appointed provisional liquidator."", 'Hooker is based in Sydney, Australia.', ""The combination of so many chains available for sale, the recent failures of such retailing LBO's as Miller & Rhoads Inc. and declining investor confidence will drive down prices, retailing observers said."", '""The pricing will become more realistic, which should help management,"" said Bruce Rosenthal, a New York investment banker with Nathan S. Jonas & Co. ""Investors aren\'t going to be throwing money at any of the proposed LBOs, but doing deals on the basis of ridiculous assumptions never made sense, either.""', 'Earlier this year, bankers and other investors were willing to provide financing because they assumed there would be major gains in both profitability and sales, Mr. Rosenthal added.']"
